program,level,year,approved_intake,enrolled,girls,boys,female_pct
Engineering and Technology,UG,2012-13,1548654,966203,320284,645913,33.1
Engineering and Technology,UG,2013-14,1634408,944543,260050,684342,27.5
Engineering and Technology,UG,2014-15,1705437,875415,240179,635058,27.4
Engineering and Technology,UG,2015-16,1631420,855163,238347,616665,27.9
Engineering and Technology,UG,2016-17,1557470,786075,228165,557797,29.0
Engineering and Technology,UG,2017-18,1476128,750605,219774,530573,29.3
Engineering and Technology,UG,2018-19,1404640,722269,212320,509643,29.4
Engineering and Technology,UG,2019-20,1329339,740881,217171,524016,29.3
Engineering and Technology,UG,2020-21,1286725,719394,213408,500074,29.9
Engineering and Technology,UG,2021-22,1253337,826249,231435,500088,31.6
Engineering and Technology,UG,2022-23,1270482,31265,8431,16043,34.4
Engineering and Technology,PG,2012-13,138242,101498,42560,58938,41.9
Engineering and Technology,PG,2013-14,181583,126749,51979,74770,41.0
Engineering and Technology,PG,2014-15,215550,122662,50014,72648,40.8
Engineering and Technology,PG,2015-16,207397,90305,37167,53138,41.2
Engineering and Technology,PG,2016-17,197202,69399,27607,41792,39.8
Engineering and Technology,PG,2017-18,186042,68696,26847,41828,39.1
Engineering and Technology,PG,2018-19,182204,66934,26104,40575,39.1
Engineering and Technology,PG,2019-20,168660,62748,23097,39809,36.7
Engineering and Technology,PG,2020-21,147669,61999,22314,39233,36.3
Engineering and Technology,PG,2021-22,136978,48591,16998,30312,35.9
Engineering and Technology,PG,2022-23,130277,1291,445,808,35.5
Engineering and Technology,DIPLOMA,2012-13,1008347,683338,199482,483834,29.2
Engineering and Technology,DIPLOMA,2013-14,1136289,728992,113142,615850,15.5
Engineering and Technology,DIPLOMA,2014-15,1262028,741705,112286,629418,15.1
Engineering and Technology,DIPLOMA,2015-16,1255749,733487,117131,616289,16.0
Engineering and Technology,DIPLOMA,2016-17,1244862,705708,114368,591306,16.2
Engineering and Technology,DIPLOMA,2017-18,1208518,667826,109882,557906,16.5
Engineering and Technology,DIPLOMA,2018-19,1125034,627762,104805,522923,16.7
Engineering and Technology,DIPLOMA,2019-20,1043513,607615,104094,504140,17.1
Engineering and Technology,DIPLOMA,2020-21,1008244,512789,91280,418506,17.9
Engineering and Technology,DIPLOMA,2021-22,976955,494866,79829,375609,17.5
Engineering and Technology,DIPLOMA,2022-23,969072,28654,5048,21309,19.2
Management,PG,2012-13,442922,236782,90552,146227,38.2
Management,PG,2013-14,450866,234460,80318,154106,34.3
Management,PG,2014-15,454917,248352,87835,160479,35.4
Management,PG,2015-16,431728,250226,93186,157040,37.2
Management,PG,2016-17,411826,234779,92201,142503,39.3
Management,PG,2017-18,393043,238205,96267,141927,40.4
Management,PG,2018-19,372339,236521,99943,136563,42.3
Management,PG,2019-20,371850,243367,104484,140038,42.7
Management,PG,2020-21,385541,245565,101754,143071,41.6
Management,PG,2021-22,403202,238617,99178,136328,42.1
Management,PG,2022-23,420236,23210,9059,13681,39.8
MCA,PG,2012-13,131968,55056,23134,31876,42.1
MCA,PG,2013-14,122884,41690,18086,23579,43.4
MCA,PG,2014-15,116216,35979,16002,19958,44.5
MCA,PG,2015-16,107061,35112,16134,19009,45.9
MCA,PG,2016-17,94159,32789,15195,17594,46.3
MCA,PG,2017-18,85164,31382,14564,16818,46.4
MCA,PG,2018-19,73653,29387,13632,15755,46.4
MCA,PG,2019-20,64114,30195,13543,16697,44.8
MCA,PG,2020-21,66424,45154,19428,25212,43.5
MCA,PG,2021-22,70251,50010,20745,28857,41.8
MCA,PG,2022-23,80487,2799,1086,1713,38.8
Pharmacy,UG,2012-13,84561,53941,24670,29271,45.7
Pharmacy,UG,2013-14,86454,52802,22878,29924,43.3
Pharmacy,UG,2014-15,88999,54914,23173,31741,42.2
Pharmacy,UG,2015-16,86980,58627,25659,32968,43.8
Pharmacy,UG,2016-17,84842,62021,26738,35283,43.1
Pharmacy,UG,2017-18,87306,68594,29735,38859,43.3
Pharmacy,UG,2018-19,94841,77571,32040,45531,41.3
Pharmacy,UG,2019-20,124649,75508,31197,46516,40.1
Pharmacy,UG,2020-21,81431,49747,20875,28446,42.3
Pharmacy,UG,2021-22,55141,38456,15405,21618,41.6
Pharmacy,UG,2022-23,54680,2199,871,1247,41.1
Architecture,UG,2015-16,9917,4726,2396,2330,50.7
Architecture,UG,2016-17,8937,4699,2352,2347,50.1
Architecture,UG,2017-18,8436,3867,1993,1874,51.5
Architecture,UG,2018-19,9786,5550,2938,2612,52.9
Hotel Management and Catering,UG,2012-13,6280,2938,419,2519,14.3
Hotel Management and Catering,UG,2013-14,6520,3351,369,2982,11.0
Hotel Management and Catering,UG,2014-15,6340,3918,461,3457,11.8
Hotel Management and Catering,UG,2015-16,6268,4147,569,3578,13.7
Hotel Management and Catering,UG,2016-17,6043,4036,584,3452,14.5
Hotel Management and Catering,UG,2017-18,5965,4261,659,3602,15.5
Hotel Management and Catering,UG,2018-19,5709,4010,604,3406,15.1
Hotel Management and Catering,UG,2019-20,6454,3808,713,3095,18.7
Hotel Management and Catering,UG,2020-21,6972,2844,494,2350,17.4
Hotel Management and Catering,UG,2021-22,7672,2649,590,2057,22.3
Hotel Management and Catering,UG,2022-23,7752,248,44,186,19.1
