discipline,gender,out_turn
Agriculture,Male,44516
Agriculture,Female,19092
Agriculture,Total,63608
Area Studies,Male,3713
Area Studies,Female,4358
Area Studies,Total,8071
Arts,Male,1110637
Arts,Female,1305493
Arts,Total,2416130
Commerce,Male,559773
Commerce,Female,567971
Commerce,Total,1127744
Criminology,Male,4
Criminology,Female,1
Criminology,Total,5
Criminology & Forensic Science,Male,161
Criminology & Forensic Science,Female,186
Criminology & Forensic Science,Total,347
Cultural Studies,Male,599
Cultural Studies,Female,768
Cultural Studies,Total,1367
Defence Studies,Male,81
Defence Studies,Female,67
Defence Studies,Total,148
Design,Male,2488
Design,Female,5359
Design,Total,7847
Education,Male,247742
Education,Female,456007
Education,Total,703749
Engineering & Technology,Male,587854
Engineering & Technology,Female,241773
Engineering & Technology,Total,829627
Fashion Technology,Male,1456
Fashion Technology,Female,4568
Fashion Technology,Total,6024
Fine Arts,Male,4829
Fine Arts,Female,5356
Fine Arts,Total,10185
Fisheries Science,Male,682
Fisheries Science,Female,623
Fisheries Science,Total,1305
Footwear  Design,Male,48
Footwear  Design,Female,39
Footwear  Design,Total,87
Foreign Language,Male,19434
Foreign Language,Female,26465
Foreign Language,Total,45899
Gandhian Studies,Male,27
Gandhian Studies,Female,176
Gandhian Studies,Total,203
Home Science,Male,1396
Home Science,Female,17096
Home Science,Total,18492
Hospitality and Tourism,Male,5992
Hospitality and Tourism,Female,1580
Hospitality and Tourism,Total,7572
Indian Language,Male,26362
Indian Language,Female,49516
Indian Language,Total,75878
Information Technology,Male,8
Information Technology,Female,5
Information Technology,Total,13
IT & Computer,Male,149775
IT & Computer,Female,108428
IT & Computer,Total,258203
Journalism & Mass Communication,Male,4825
Journalism & Mass Communication,Female,5014
Journalism & Mass Communication,Total,9839
Law,Male,72207
Law,Female,35738
Law,Total,107945
Library & Information Science,Male,11154
Library & Information Science,Female,10961
Library & Information Science,Total,22115
Linguistics,Male,1617
Linguistics,Female,2320
Linguistics,Total,3937
Management,Male,126242
Management,Female,82799
Management,Total,209041
Marine Science / Oceanography,Male,318
Marine Science / Oceanography,Female,68
Marine Science / Oceanography,Total,386
Medical Science,Male,111607
Medical Science,Female,181921
Medical Science,Total,293528
Oriental Learning,Male,10672
Oriental Learning,Female,8092
Oriental Learning,Total,18764
Others,Male,3
Others,Female,6
Others,Total,9
Paramedical Science,Male,4399
Paramedical Science,Female,3553
Paramedical Science,Total,7952
Physical Education,Male,17534
Physical Education,Female,7672
Physical Education,Total,25206
Religious Studies,Male,509
Religious Studies,Female,364
Religious Studies,Total,873
Science,Male,553016
Science,Female,644317
Science,Total,1197333
Security Management,Male,44
Security Management,Female,26
Security Management,Total,70
Social Science,Male,129857
Social Science,Female,134117
Social Science,Total,263974
Social Work,Male,3222
Social Work,Female,3473
Social Work,Total,6695
Veterinary & Animal Sciences,Male,2094
Veterinary & Animal Sciences,Female,1670
Veterinary & Animal Sciences,Total,3764
Women Studies,Male,0
Women Studies,Female,288
Women Studies,Total,288
